Year,Sample_Code,Group,Sample,Easting,Northing,Longitude,Latitude,Drain,Zone,salinity,Sal_zone,pH,EC,Cl,NOx_N,PO4_P,SO4_S,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Si,Sr,V,Zn,La,Nd,Gd
2019,2019_08_1,8,1,400508,6468315,115.9476536,-31.91669404,Chapman,Chapman_N,Fresh,CD_fresh,6.97,863,NA,NA,NA,NA,0.060455173,0.014271121,0.189954917,0.053253937,43.58414539,NA,NA,NA,8.239833823,12.15011551,NA,10.61558013,0.446435114,0.001123702,89.30457968,NA,2.048815377,0.020693625,1.988335956,5.737373326,0.203510532,0.006318402,0.007310317,NA,NA,NA
2019,2019_08_2,8,2,400485,6468320,115.9474108,-31.91664692,Chapman,Chapman_N,Fresh,CD_fresh,7.03,838.7,NA,NA,NA,NA,0.055531001,0.018137204,0.186535017,0.068365049,46.04077698,NA,NA,NA,6.643092398,11.88101972,NA,11.04728385,0.563328328,0.001018817,92.13345714,NA,1.285462245,0.021355995,1.455036315,5.954686318,0.209852545,0.007797237,NA,NA,NA,NA
2019,2019_08_3,8,3,400465,6468332,115.9472005,-31.91653693,Chapman,Chapman_N,Fresh,CD_fresh,7.03,911.6,NA,NA,NA,NA,0.043985014,0.026865086,0.18095615,0.072014359,51.64634089,NA,0.001199152,NA,7.35417659,15.85838741,NA,12.30893197,0.368982755,0.000865305,94.43489535,NA,0.989991199,0.022536234,0.727327934,6.277510921,0.233633549,0.005960945,NA,NA,NA,NA
2019,2019_08_4,8,4,400452,6468340,115.9470639,-31.91646362,Chapman,Chapman_N,Fresh,CD_fresh,6.97,927.2,NA,NA,NA,NA,0.029258,0.049583112,0.196750636,0.058099606,47.56955884,NA,NA,NA,15.7196386,15.29992026,NA,10.78700033,0.391863411,0.000802822,97.05655962,NA,0.282431753,0.022254741,0.749885155,6.704290333,0.220722086,0.007156347,NA,NA,NA,NA
2019,2019_08_5,8,5,400474,6468325,115.947295,-31.91660086,Chapman,Chapman_N,Fresh,CD_fresh,7.01,841.3,NA,NA,NA,NA,0.023653627,0.026453757,0.181089871,0.035699011,47.71112742,NA,NA,NA,12.34505828,10.63980233,NA,11.46295612,0.357857856,0.000989503,92.81771887,NA,0.724632547,0.021182223,0.997233321,6.309670913,0.212103141,0.00715802,NA,NA,NA,NA
2019,2019_09_1,9,1,400040,6468263,115.9426988,-31.91712201,Woolcock,Woolcock,Fresh,Woolcock,5.5,1185,NA,NA,NA,NA,0.240013077,NA,0.192861003,0.032758979,47.9735954,0.051474053,NA,NA,3.070011848,6.221445222,0.018296988,19.91325914,0.149514406,0.001727626,80.79931347,0.004960555,0.0085,0.014198745,40.41278839,4.796942561,0.223190668,NA,3.795357584,NA,NA,NA
2019,2019_09_2,9,2,400043,6468260,115.9427302,-31.91714933,Woolcock,Woolcock,Fresh,Woolcock,5.67,1138,NA,NA,NA,NA,0.185730392,NA,0.174096194,0.038081538,48.99364954,0.050709079,NA,NA,3.027665062,5.929617689,0.018013869,20.52307086,0.15175202,0.001617745,81.64659428,0.006401525,0.00849,0.016173809,40.43378467,4.975278263,0.226251557,0.004164288,4.008493637,NA,NA,NA
2019,2019_09_3,9,3,400044,6468258,115.9427406,-31.91716746,Woolcock,Woolcock,Fresh,Woolcock,5.71,1154,NA,NA,NA,NA,0.205023735,0.00234609,0.173182726,0.038510145,49.24493764,0.049565735,NA,NA,2.820613307,5.296171037,0.019458429,20.30860819,0.151743952,0.001661483,83.91120041,0.005106043,0.0085,0.016696669,40.23231816,4.965057143,0.225768224,0.005071258,3.991449622,NA,NA,NA
2019,2019_09_4,9,4,400046,6468254,115.9427613,-31.91720372,Woolcock,Woolcock,Fresh,Woolcock,5.71,1154,NA,NA,NA,NA,0.209716707,NA,0.172950439,0.035336429,49.21161636,0.05254163,NA,NA,2.610016161,7.19114497,0.018573243,20.23655638,0.150366711,0.001565578,84.68395417,0.006152596,0.00849,0.013883841,40.08362855,4.929994928,0.226155187,0.00383897,4.091430627,NA,NA,NA
2019,2019_10_1,10,1,400073,6467957,115.9430162,-31.91988515,SwanR,SwanR,Marine,SwanR,7.66,51100,NA,NA,NA,NA,NA,0.002495474,2.676595215,0.079183581,289.4961412,NA,0.00693705,NA,NA,257.2949698,0.072403241,861.3165013,0.06780956,0.005210916,7028.670886,NA,0.049349217,0.229292409,342.6869586,2.093945467,4.381970552,0.027084017,NA,NA,NA,NA
