Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-02-113,E-horizon,115.815,-31.8169,250,275,72,39,1175,24,3,NA,523,0.92,0.08,0.77,5.03,NA,2.96,NA,3.86,0.1,0.05,NA,NA,1.73,0.09,1.09,0.11,0.67,0.82,1.75,0.27
616-02-122,E-horizon,115.8871,-31.9117,50,75,111,22,206,7,7,NA,18,0.01,0.57,0.68,4.15,NA,1.51,NA,0.44,0.15,0.04,NA,NA,0.89,0.12,0.58,0.04,0.73,0.38,0.61,0.13
616-02-122,B-horizon,115.8871,-31.9117,275,300,354,72,298,8,8,NA,68,NA,0.2,1.2,3.51,0.001,1.67,0.02,6.55,0.97,0.08,NA,0.01,1.04,0.37,0.64,0.15,2.08,0.75,0.83,0.17
616-02-122,B-horizon,115.8871,-31.9117,800,900,37,17,260,5,3,1.71,109,0.03,0.18,1.92,4,0.003,1.15,0.04,7.58,1.02,0.06,NA,NA,0.67,0.17,0.42,0.1,0.47,0.51,2.18,0.13
616-02-122,E-horizon,115.8871,-31.9117,325,400,38,16,740,27,1,2.35,118,NA,0.06,2.66,3.96,NA,2.31,NA,3.55,0.6,0.1,NA,0.01,1.43,0.08,0.94,0.2,0.42,1.54,2.46,0.24
616-02-127,coffee-rock,115.9243,-31.9026,125,NA,271,94,296,4,25,NA,796,0.49,0.35,1.7,10.39,0.112,7.91,0.22,9.28,1.21,0.66,NA,NA,4.38,0.13,3.39,0.9,1.99,2.33,2.5,1.25
616-02-127,E-horizon,115.9243,-31.9026,275,NA,15,11,396,15,14,NA,39,NA,0.04,0.71,3.69,NA,0.9,NA,2.14,0.85,0.08,NA,0.01,0.59,0.11,0.42,0.08,0.5,0.46,1,0.1
616-02-136,E-horizon,115.9452,-31.971,50,NA,240,67,192,6,7,2.87,37,NA,0.15,1.39,4.41,NA,3.76,NA,0.63,0.31,0.13,NA,NA,2.12,0.1,1.38,0.05,1.3,0.97,0.55,0.18
616-02-136,coffee-rock,115.9452,-31.971,250,NA,777,255,668,12,25,1.58,364,0.49,0.71,14.75,14.98,0.096,16.53,0.32,27.7,4.09,0.74,NA,0.03,9.81,0.27,5.54,0.53,6.45,4.81,4.15,1.05
616-02-145,E-horizon,115.9793,-31.9212,50,NA,16,6,201,2,1,1.05,3,0.14,0.02,0.44,1.47,NA,0.67,0.05,0.78,0.33,NA,NA,NA,0.4,0.13,0.27,0.02,0.16,0.2,0.23,0.06
616-02-145,E-horizon,115.9793,-31.9212,350,NA,19,25,332,3,2,1.37,106,0.2,0.07,2.42,3.09,0.019,3.32,0.03,1.51,0.67,0.12,NA,NA,2.29,0.09,1.21,0.08,0.33,0.91,0.7,0.38
