Pos. [°2?],Intensity [Counts],,,
21.5579,2221.3845,,,
21.5799,2260.795,,,
21.6019,2254.3982,,,
21.6239,2204.6297,,,
21.6459,2205.941,,,
21.6679,2357.8719,,,
21.6899,2189.2115,,,
21.7119,2232.3786,,,
21.7339,2253.8525,,,
21.7559,2247.7463,,,
21.7779,2221.8123,,,
21.7999,2269.6725,,,
21.8219,2246.7521,,,
21.8439,2202.5483,,,
21.8659,2258.826,,,
21.8879,2267.6175,,,
21.9099,2294.5724,,,
21.9319,2379.9881,,,
21.9539,2285.9222,,,
21.9759,2261.9171,,,
21.9979,2358.0884,,,
22.0199,2306.8893,,,
22.0419,2288.2252,,,
22.0639,2312.3349,,,
22.0859,2348.5722,,,
22.1079,2320.4621,,,
22.1299,2316.0769,,,
22.1519,2377.6921,,,
22.1739,2316.8573,,,
22.1959,2321.2923,,,
22.2179,2427.1013,,,
22.2399,2417.0634,,,
22.2619,2419.2183,,,
22.2839,2442.4814,,,
22.3059,2505.5577,,,
22.3279,2536.3937,,,
22.3499,2473.2635,,,
22.3719,2472.4032,,,
22.3939,2538.7436,,,
22.4159,2596.4424,,,
22.4379,2610.657,,,
22.4599,2658.4129,,,
22.4819,2654.0021,,,
22.5039,2698.2984,,,
22.5259,2752.9176,,,
22.5479,2847.3202,,,
22.5699,2877.0619,,,
22.5919,2884.7921,,,
22.6139,2956.7622,,,
22.6359,3069.8783,,,
22.6579,3155.652,,,
22.6799,3218.829,,,
22.7019,3273.6638,,,
22.7239,3344.2686,,,
22.7459,3436.3246,,,
22.7679,3591.1857,,,
22.7899,3696.7346,,,
22.8119,3821.136,,,
22.8339,4104.5541,,,
22.8559,4188.9321,,,
22.8779,4193.0709,,,
22.8999,4374.5505,,,
22.9219,4561.4486,,,
22.9439,4764.9173,,,
22.9659,4957.0504,,,
22.9879,5120.8941,,,
23.0099,5270.6453,,,
23.0319,5529.1189,,,
23.0539,5698.4043,,,
23.0759,5840.9919,,,
23.0979,5878.5408,,,
23.1199,5946.7184,,,
23.1419,5987.4838,,,
23.1639,5837.2573,,,
23.1859,5848.7169,,,
23.2079,5632.6608,,,
23.2299,5449.4963,,,
23.2519,5525.2893,,,
23.2739,5466.0304,,,
23.2959,5194.47,,,
23.3179,5206.2361,,,
23.3399,5068.2077,,,
23.3619,5007.231,,,
23.3839,5041.1018,,,
23.4059,5038.1819,,,
23.4279,4939.433,,,
23.4499,4980.4809,,,
23.4719,4971.0089,,,
23.4939,4988.1051,,,
23.5159,4912.8816,,,
23.5379,4674.6263,,,
23.5599,4668.9229,,,
23.5819,4738.3007,,,
23.6039,4652.297,,,
23.6259,4662.5763,,,
23.6479,4731.7035,,,
23.6699,4733.1112,,,
23.6919,4760.6936,,,
23.7139,4723.9499,,,
23.7359,4710.9098,,,
23.7579,4604.3658,,,
23.7799,4609.0574,,,
23.8019,4548.1092,,,
23.8239,4546.0997,,,
23.8459,4509.4129,,,
23.8679,4475.4479,,,
23.8899,4502.9973,,,
23.9119,4579.2255,,,
23.9339,4448.3813,,,
23.9559,4345.4985,,,
23.9779,4377.841,,,
23.9999,4462.633,,,
24.0219,4394.777,,,
24.0439,4496.6462,,,
24.0659,4548.053,,,
24.0879,4542.6732,,,
24.1099,4680.9532,,,
24.1319,4896.2604,,,
24.1539,4989.3863,,,
24.1759,5188.7356,,,
24.1979,5888.6296,,,
24.2199,6865.2508,,,
24.2419,8149.1262,,,
24.2639,9079.0134,,,
24.2859,8846.493,,,
